bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Productivity","/explore/productivity","/projects/bounty-tasker-a-to-do-list-to-gamify-your-life","2018-05-07T23:59:59-07:00","USD","4255","0.709166666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/chrjzedvq4gytqmj2szf.jpg","false","false","null","2018-04-02T23:28:40-07:00","null","null","null","null","null","2343549","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Gamify your tasks and get motivated to level up, defeat monsters, and become super productive!","[""mobile apps"",""iphone"",""apps"",""first-time founders"",""software""]","Bounty Tasker: A To-do List to Gamify Your Life"
"null","Wellness","/explore/wellness","/projects/tipping-point-kilimanjaro-world-record-2018","2018-02-09T23:59:59-08:00","USD","860","0.00215","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ug2qtezchh9qwstbxqaz.jpg","false","false","null","2017-12-11T15:24:10-08:00","null","null","null","null","null","2290017","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A record breaking climb proving humans can go beyond what we believe is possible.","[""documentary""]","Tipping Point - Kilimanjaro World Record 2018"
"null","Tabletop Games","/explore/tabletop-games","/projects/board-game-corridors-of-shadows","2018-02-13T23:59:59-08:00","USD","533","0.088833333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pgkwvimw6udfxw3fnleg.jpg","false","false","null","2017-12-15T09:45:38-08:00","null","null","null","null","null","2297457","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","This is a handmade board game from a Bulgarian artist! The game is very fun to play and beautiful.","[""other""]","Board game Corridors of Shadows"
"null","Health & Fitness","/explore/health-fitness","/projects/thinking-cup-petit","2015-11-08T23:59:59-08:00","EUR","130","0.008666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ijafias4maslt3adrsow.jpg","false","false","null","2015-09-09T10:06:20-07:00","null","null","null","null","null","1428462","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We provide students with a place where they can spend quality time with their fellow students.","[""other""]","Thinking Cup  Petit"
"null","Energy & Green Tech","/explore/energy-green-tech","/projects/ifilter-tornado-filter-for-vacuum-cleaner","2018-01-26T23:59:59-08:00","USD","115","0.0115","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wrhmca3oe24p0p2enym2.jpg","false","false","null","2017-11-27T22:02:56-08:00","null","null","null","null","null","2276179","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Alternative for dust filter bag, increasing the suction power to 5 times, saving power to 2 times","[""other""]","iFilter - Tornado Filter for vacuum cleaner"
"null","Wellness","/explore/wellness","/projects/rootsrise--2","2019-02-15T23:59:59-08:00","USD","35667","1.321","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bqap2tnjj59prxi44qv8.jpg","false","false","null","2018-12-17T00:00:00-08:00","null","null","null","null","null","2443849","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","soulful movement meditation for all","[""yoga"",""female founders"",""community""]","rootSrise"
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/sunjuice-solar-charger","2017-02-16T23:59:59-08:00","USD","1827","0.07308","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rb2mztt87lncgpfphmlt.jpg","false","false","null","2016-12-18T12:22:45-08:00","null","null","null","null","null","1832895","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Solar experts introduce the next generation of solar chargers","[""solar""]","SunJuice Solar Charger"
"null","Education","/explore/education","/projects/don-t-just-dream-it","2016-12-01T23:59:59-08:00","GBP","418","0.139333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/u43ylrnkuqwp410dexqd.jpg","false","false","null","2016-10-17T05:50:40-07:00","null","null","null","null","null","1912649","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Don’t Just Dream It – ACHIEVE IT! Simple and creative steps to making your dreams a reality","[""other""]","Don't Just Dream It"
"null","Environment","/explore/environment","/projects/thanks-to-earth","2016-03-21T23:59:59-07:00","USD","155","0.031","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tfuhcmkiunnwzrdhuugo.jpg","false","false","null","2016-02-14T08:30:36-08:00","null","null","null","null","null","1645803","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Share your feelings while we show you
360 Degree Video of EARTH from the Space !","[""other""]","THANKS to EARTH !"
"null","Transportation","/explore/transportation","/projects/segway-emoped-c80-the-first-smart-ebike-by-segway","2020-11-28T23:59:59-08:00","USD","567208","54.3063","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vqnnbodnoayfyvz0ximb.jpg","false","false","null","2020-09-29T00:00:00-07:00","null","null","null","null","shipping","2629923","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Smart Seating Detection | RideyGo! Smart System | 52.8 Miles Range | Anti-Theft | Auto-Lock Mode","[""e-bikes"",""gps"",""motorcycles"",""scooters"",""family""]","Segway eMoped C80: The First Smart eBike by Segway"
"null","Health & Fitness","/explore/health-fitness","/projects/the-promised-sand-rio-2016","2016-04-16T23:59:59-07:00","GBP","155","0.025833333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ceqtrg0utjr3a3smjfsd.jpg","false","false","null","2016-03-07T23:33:32-08:00","null","null","null","null","null","1672146","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Sponsor Nathan's Journey To The Promised Sand","[""other""]","The Promised Sand - Rio 2016"
"null","Education","/explore/education","/projects/a-second-chance-of-life-through-children-s-books","2015-12-06T23:59:59-08:00","GBP","541","0.0541","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hls6lwqamxqxl8fkiq2z.jpg","false","false","null","2015-11-06T07:09:21-08:00","null","null","null","null","null","1516513","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help me fulfil my dream to reach 1000's of children through my picture books and workshops","[""kids"",""community""]","A second chance of LIFE through children's books"
"null","Art","/explore/art","/projects/rinascimento-io","2021-09-20T23:59:59-07:00","EUR","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zd3jieuemrojsq9nlszo.jpg","false","false","null","2021-07-22T00:00:00-07:00","null","null","null","null","null","2691750","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Decrypt the Renaissance
New and brave look at Renaissance art
Close the gap between past and future","[""3d"",""animation"",""crypto"",""pillows"",""software""]","Rinascimento.io"
